date,ticker,name,market,close,eps_2026_like,eps_nexty,per_2026_like,per_headline_forward,eps_source,eps_fetched_at,data_source
2026-02-13,005930,Samsung Electronics,KR,181200.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-19,005930,Samsung Electronics,KR,190000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-20,005930,Samsung Electronics,KR,190100.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-23,005930,Samsung Electronics,KR,193000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-24,005930,Samsung Electronics,KR,200000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-25,005930,Samsung Electronics,KR,203500.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-26,005930,Samsung Electronics,KR,218000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-02-27,005930,Samsung Electronics,KR,216500.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-03,005930,Samsung Electronics,KR,195100.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-04,005930,Samsung Electronics,KR,172200.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-05,005930,Samsung Electronics,KR,191600.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-06,005930,Samsung Electronics,KR,188200.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-09,005930,Samsung Electronics,KR,173500.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-10,005930,Samsung Electronics,KR,187900.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-11,005930,Samsung Electronics,KR,190000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-12,005930,Samsung Electronics,KR,187900.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-13,005930,Samsung Electronics,KR,183500.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-16,005930,Samsung Electronics,KR,188700.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-17,005930,Samsung Electronics,KR,193900.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-18,005930,Samsung Electronics,KR,208500.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-19,005930,Samsung Electronics,KR,200500.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-20,005930,Samsung Electronics,KR,199400.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-23,005930,Samsung Electronics,KR,186300.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-24,005930,Samsung Electronics,KR,189700.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-25,005930,Samsung Electronics,KR,189000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-26,005930,Samsung Electronics,KR,180100.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-27,005930,Samsung Electronics,KR,179700.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-30,005930,Samsung Electronics,KR,176300.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-03-31,005930,Samsung Electronics,KR,167200.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-01,005930,Samsung Electronics,KR,189600.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-04-02,005930,Samsung Electronics,KR,178400.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
